Review,Rating
Good place amidst Colombo to spend time. Busy during evenings. Calm and enough security. Well maintained area. Has a play area for children. Car park is a paid one. Around Rs.50 per hour..,5
"Viharamahadevi Park (formerly Victoria Park) is a public park located in Cinnamon Gardens, Colombo, situated in front of the colonial-era Town Hall in Sri Lanka. It was built by the British colonial administration and is the oldest and …",4
"Beautiful park with hundreds of trees, plants, play ground for children, pond, fountains and walking & bicycling tracks.. Ideal place for morning & evening walks and to spend  time with family.  The only minus point is the menace of stray dogs. It's really annoying.",4
"Viharamahadevi park, colombo: tickets, tours, hours, address, viharamahadevi park reviews: 4 5 colombo city tour with holiday walkers sri lanka. 1 review. $70.20. The viharamahadevi park is the oldest and the biggest park in the port city …",5
"Colombo's own ""Central Park"". Looks great, especially in the evenings. Lots of old trees, towering and wild and the park is meticulously maintained, with beautiful paved pathways, some flanked by palm trees and lush, even grass. The only clean, green public space to chill at in Colombo.",4
"Fresh air, silent place. All over full of lovers, don't take your younger one along with you",4
It was so pleasing to look at that environment. You must try out the workout machines that are placed there. It was so fun and the place is a good place for every family to relax for sometime.,4
"Had an hour to kill, took a quiet stroll in this park in the blazing afternoon. It was so refreshing for the mind and body. Park had a very decent caffertaria, was clean and hygenic. Even had microwaved snacks on offer.",5
Good place to have picnic and outer activities on a cloudy day. You can just hang out and read a book by yourself. Great place for couples too!!,5
The park is amazing and less crowded in early mornings.,4
Calm and quite place for a much need time  for relaxation. Better to bring your own food.,5
"The cycling and jogging terrain is very good and the environment is so calming and gentle to indulge yourself in, however the couples visiting when seated carry on with there private times out of control, without shame and showing no …",5
"Best place to spend the evenings with your kids and family members. Play area, canteen, toilets and best views are available at the park",4
This place is very calm and cool place to enjoy your free time. Excellent maintaining. 👍,4
"The place is amazing and god knows how many times I've been here and enjoyed the view. Although there are some harassers, unfriendly people, creeps and all kinds of people hanging around, making the experience sometimes unpleasant. Other than that, quite an enjoyable park.",4
"The place is beautiful. widenopen spaces, kid areas, lots of cover...there is plenty of parking too.  They really made efforts.. there are garbage cans.. something lacking all over the country. Well here they have.",4
Very good place to spend your time,5
Great and cool place to spend with you family and friends.clean and good maintained.better place to spend leisure time.nice place for kids to play.good place to relax.,5
"Taking its name after Queen Viharamahadevi, the Viharamahadevi Park is the largest one in Colombo. Combining picnic spots, waterfalls, a public park, a zoo, nature trails, and much more, the park is one of the most relaxing places to visit …",4
"Its a great place to study as well, calm place",5
"More parking space, well maintained place & toilet also,its suitable for the family or every one to spend their leisure time.",4
Good place to spend your leisure time. But can't take photos by a DSlR camera. It needs special permission.,4
One of best place to relax in the colombo city. The children's area is very nicely designed for children. There are few food stalls within the area to get some snaks and short eats. This place is really busy during weekends and people use this place to morning walking activities. Further there is a separate bicycle track to do cycling.,5
Best place to spend the evenings with your kids and family members.,5
"Well maintained and give a nice breather from the busy city.. Maintenance done by civil security department  and they also take care of the security part as well.. it's open in the night also ,so that you can have a awesome evening walk as well.. no beggars, no thieves and safety is really good....",4
This place is the  relaxing and good environment for mind relaxing for city people park. Children have playground  in coner.,4
"Great place to spend few hours with you family and friends. In one corner you can find a play area for kids. The other side is good, where can sit on grace and even you can enjoy your own food. Clean and well maintained. Free access, except the kids play area, and ample parking where you have to pay 50LKR per hour.",5
Are you looking place to shoot your preshoot or kids birthday .... Or a long walk with your loved ones....,4
Viharamahadevi park is a very beautiful place in the city with a lot of greenery. Also includes walking and jogging tracks. There is a children's park and play area adjoining this. This was formally known as the Victoria Park.,5
Beautiful natural environment in the busy town. *Free entrance *Vehicle parkings,5
A natural beauty park so in the middle of a busy town,5
"The largest publuc park in the capital city of Colombo. Not well maintained, almost nothing for the kids other than a few ponies. Matslides, swings, see-saws, fun train all either not in working condition or closed. The only good things are …",2
"It is a beautiful park. it is a big , wide and long park I'm so proud to be a Sri lankan..",5
Very good place  to spend your free time,4
You can spend your time with your family and good place to evening and morning workouts..,5
Best place to spend evening time.,5
A great place to spend some free time😊,5
"There are three false entrances to the park - false because now they've taken off almost all the fence around the area, so you can walk in from wherever. The down-side of all this urban planning is that the local artists' paintings we loved …",4
Good clean  place .But most the benches are located in a  place that sun light comes.,1
Great place to relax with the family right in the middle of the busy city.,5
It's always a place for family and loved ones❤️,4
Viharamahadevi park is one of the most popular place in colombo city,4
Calm place to spend the day,5
"Its was coincidence to visit this park, almost 2 hr I spend here. Nicely build and clean place close to main road. Ideal place for Walker, kids and people who love to walk in garden.",4
Nice and best places for couples and also children,5
"In the middle of capital of sri lanka, in a busy life one of the best place to come and relax.  Morning and evening times are the best according to my opinion.",5
"Calm and quite surrounding to stay and relax more time with your loving ones. There are spaces for resting, chatting and roaming. Sanitory facilities also available with good condition. No proper food court there in these days due to Covid-19 pandemic situation.",5
"Great place to chill. You can rent bicycle for cheap and Ride on the cycling track.You can also walk along the pavement where artists are selling their artwork and paintings.A very beautiful green place to spend time with family. A good place to spend your leisure times with your family, Children or if you are a couple",5
"Historic place and known for many generations for A Good place in the City for a relaxing time with family or for morning stroll or jog.  Children's play area is also a very popular attraction  New exercise machines also installed within the park  Well maintained by the park authorities  Parking road side, paid parking.",4
Peaceful place to take a walk.,5
"Awesome place to jog, relax and cycle",5
perfect place for rest at the heart of colombo,5
Great and calm place to spend time with family,5
Best place in the city to get relaxed..,5
Enjoyble & nice place in Colombo Sri Lanka,4
Lovely but bit busy as it in the middle of the capital.. Better visits on sunny evenings.,5
One of the Best place in Colombo for spend time with families.,5
"Non of the playground equipment were open for children no swings, seasaws or slides were operational. Highly disappointed as went there with the kid. Onky thing you could do is run around in the grass field. And there were lot of couples doing their thing publicly and it was obscene.",2
"Night Toll free parking, well maintained,",5
"You can walk, jogging or cycling around it and keep Your body fit and live healthy life.",5
Excellent for walking and jogging.  Great for kids --- many families bring their toddlers to play.,5
"ViharaMahaDevi Park, in Cinnamon Gardens, Colombo and also known as formally Victoria Park. This is infront of Town Hall of present Srilanka. This is must visit place. Beautiful and better in visit in afternoon to late evening.",5
Awsome place for weekend to enjoy. Can do cycling here too,5
Nice place in the heart of Colombo.!,5
"The Viharamahadevi Park is the largest public park located in Colombo. A cool, Calming and  well maintained  place with the lake, the suspension bridge and the World War memorial. The park covers a lot of old trees with beautiful pathways.",5
A very beautiful green place to spend time with family. What we loved was the peace and serenity in the middle of the city. There's a small lake in which a few water fowls can be seen. We visited the place a couple of times while we were here. Great ambience.,5
Good leisure place in Colombo under green trees,4
Awesome place to relax morning and evening times,5
"Named after Queen Viharamahadevi, this park is the largest and probably the only public park & one of the best places to visit in Colombo. It is one of those places that never cease to excite you irrespective of the number of times you come …",5
"Nice place to visit, Good relaxing place for every one . Kids can play, there is a walking way and benches also good place for lovers ❤️❤️❤️",5
"Clean, massive, beautiful, relaxing.  We ended up buying lunch at one of the shops across the road and having it in this beautiful park.  It's absolutely massive. Clean, relaxing and just what a busy tourist needs to unwind.  We have a 18 …",5
"A perfect place to relax for families and couples. An open-air theater, aquarium, children’s play area, horse riding, boat service, and foods are available.",5
"Very well arrange park, the area found clean many activity you could have it there same ridding horses and enjoying the boat in the lake, there is small lake there and you can rent a boat, small boutique for snake available also, good place for running and making some sport activities as well",5
My siblings and i enjoyed alot there!,5
Great place to relax in center in Colombo City.,4
"One of beautiful city garden heart of Colombo. Best place to relax, jogging and keep outdoor meeting.",5
Excelent Place to enjoy with Family. love it.,5
Greenery all round. An ideal place for a walk or just laze.,4
"Loved the walk through the park. Nice cafe for a freshly squeezed juice of choice. Not much to do here, the trees were welcoming.",4
More relaxing place in heart of colombo.,5
Very old temple. Sacred place with relics of Lord Buddha. Many things to watch related to Buddhist culture. Friendly monks. Must visit if you are in Colombo,5
You can learn srilanka culture and history at this place. You have a unique Buddha made of jade stone. It also has Buddha’s hair relic. Felt very close and connected to god. Don’t forget to visit the temple built in the middle of the lake specially for tourists. You must visit this place at night. It looked amazing,5
"""Gangaramaya is one of the oldest Buddhist temples in Colombo located near Beire Lake. It was built in the late 19th Century.  It is a tourist attraction place in Colombo due to it's spectacular modern architecture and cultural essence. A …",5
"Great historical site with very well maintained historic relics and architecture. The tall Buddha statue is most beautiful. Temple also hosts a museum of historic temple belongings like idols, books, scrolls etc.  A lot of tourists visit …",4
"One of most popular ancient Buddhist templete in Jinarathana road, Colombo 02.",5
Very serene and a divine place. The lake on the opposite side and the walkways adds up to it's beauty. Great place to get some peace of mind.,5
Serene place to calm your mind in a bustling surrounding! One of the best temples in and around Colombo city! 🙏👍👍❤️,5
PET plastic collection bins established here at Gangarama Viharaya. Very useful to the pilgrims. Let’s Dispose our PET plastic bottles into a proper way.,5
"This is an amazing place to visit. Big collection of statues, big and small. Along with a huge tree that seems to be the focus of their worship. Lots of beautiful statues all in one place. This is basically two large buildings with many rooms and a court yard in the middle. But every inch is filled with beautiful items to behold!",5
Historical buddha temple...clean and well maintained...for foreigners there is a fees for entry..500 rs per person,5
very nice temple in Colombo. Lot of historical items also there to be seen,5
This is a private museum. They collect some donation as entrance fee. Mostly Buddha statues are displayed.  Some interesting are Buddha hair and a replica of Jade Buddha statue. When you have time in Colombo its worth to visit. At least you need an hour to go through it.,5
"Itz so claims and quite, Buddhist temple, and it has good antique collection.",5
"One of famous tourist attraction in the capital of Sri Lanka. Calm and quiet place. Shrine has very nice colorful murals and statues. This temple has museum also. You can see smallest Buddha statue, old cars and lots of antiques and statues. Very good place visit with children.",5
One of a kind temple that exhibits some old fashion cars which are classic in nature.,5
"A must see temple in Colombo and in Sri Lanka, in general. Aside from the entrance fee for foreigners, the temple offers such a peaceful atmosphere and energy.  The temple and surrounding areas are occupied by multiple smaller and larger …",5
Wonderful and beautiful temple. You can see lots of donated stuff from people in this temple as well. It looks like Museum kind temple. If you purchase a ticket from the floating temple you can visit this temple for free! Gotta spent more time here and the best time to visit I would say is during the night where the lights are up. 😍,5
"One of best temples you can find with in the Colombo City. This place is a museum on it's own and has so much heritage and collections of various things religious and otherwise.  Temple conducts early Buddhist pageant called ""Nawam …",5
Calm and quiet place. colorful murals and statues. Must visit gangaramaya temple colombo,5
Gangaramaya Temple. Most famous temple in Colombo and Island wide too. This temple located in middle of town area. There is many Lord Buddha's status in various type of Buddhist culture. Temple consists with two part and one of it located …,4
One of the best temple in Colombo area. Highly recommended.,5
It's a definite must visit location for foreigners.. one of the best and we'll maintained attraction in heart of Colombo.. Even though Sri lankan Buddhist may feel as it's not a topical Buddhist temple in SL. It has a large variety of …,5
Very peaceful temple. I should inform all foreigners to be respectful here because it has a significant religious importance to Buddhist.,5
Mind relaxing and very calm place in the heart of colombo. ❤️,5
"An amazing collection of relics, idols and all things related to Buddhism.. The whole atmosphere is serene and it would be great to take photographs without disturbing the devotees.. Buddha’s hair and the world’s smallest Buddha statue are added attractions",5
"Buddhist temple with loads of statues, old cars and idols. One of the famous tourist attraction in Colombo.  It is one of the oldest temple in Colombo. The atmosphere here is very calm and relaxing. You can enjoy your noon here in a very peaceful way.",5
"This is the best place to visit for calm  down of your mind. The Gangaramaya Temple is one of the most famous, beautiful and vibrant Buddhist temple in Colombo, being a mix of modern architecture. Many locals and foreigners are visited to …",5
"The amount of wealth this temple has hoarded is approaching par with the Vatican in Rome! Ha, well that's what it feels like. There are piles of money, gold, jewels, gems, statues, ivory and crafted objects everywhere. The treasures there …",3
A must go place for a Buddhist if you are closer to Beire Lake. A calm place amidst the busy city. Parking available,5
It's the most famous and popular Buddhist Temple of Colombo. It's not just a temple though. Rather it's a tourism attraction spot as well. This is because they charge tourists 300 rupee per person as entrance fee. There aren't a lot of open …,3
We can Worship there,5
Great historical site with very well maintained historic relics,5
Nice place visit if you explore in Colombo. But the place is very crowded on poya days.,4
A very unique temple. It was like temple and an old house/museum with alot of antiques items.  A variety of collection of a family. The surrounding of the main tree was very peaceful.,3
"Must visit for a tourist if you love history, architecture, art in general. Beautiful temple with a lot to offer. It also has a museum inside. Huge premises. It can take you a couple of hours if you want to go through each and every part. …",5
"This temple is a calm and very beautiful place  This place was built by Ven.  Hikkaduwe Sumangala Thero during the imperialist rule  In recent times, under the leadership of Galaboda Gnanasara Thero (Podi Thero), a highly developed  The …",5
"One of oldest temple in colombo. there are so many old things and statues can see here. Best thing is ""Gangarama Perahera"". Must thing to see in Colombo",5
One of its kind. This temple is amazing so peaceful. Full of art from different countries.,5
Its a nice place calm surrounding but sadly it gives thai vibe more than typical srilankan temple,3
Very beautiful temple with free-sprited environment.,5
Ambience- very serene- the hymns have very soothing effect . But beware of your local guides - if you are international travel the entry fee you may pay is way higher than others . We were asked to pay 400 srilankan rupees by the guide …,5
"A beautiful Buddhist temple in Colombo with colourful, peaceful and relaxing atmosphere. A lot of East Asian Buddhist statues and pictures can be seen their. Even in a crazy busy day in Colombo you can peacefully worship and take a break …",5
"Wonderful place, plenty of antiques and wonderful curiosities. Do remember to be respectful. Sometimes, one might be tempted to think that the curator was more of a 'hoarder'. There's plenty to leave you both amazed, intrigued and baffled. …",5
"Elephant Visits the Temple! I visited the temple twice, once in the morning on 16th and again in the evening on 18th March 2020.  Visitors need to remove their shoes at the entrance to the temple.  Being a place of worship, there is no …",5
"Gangaramaya Temple is not only one of the most beautiful but also one of the most iconic Buddhist temples in Sri Lanka. It is more than a century since this temple was constructed; however even today, the temple doesn’t stop to surprise …",5
"Great place to visit in Colombo, easy to reach, safe to visit",5
"Place of worship, must visit if you are in Colombo. They have an attached museum as well, which has lot of items on display with historic value. There is another temple nearby, do visit that temple as well, it is right next to the Biera …",5
"This is a must visit place. It has got beautiful statue of Buddha. There is a huge museum with all kinds of antiques ranging from cars, guns, coins, gold, spectacles etc. This temple is located in middle of the city. Parking here is limited. Recommend to visit this place",5
Important place when visiting Colombo. Do not get confused with the extension they have in the lake as the temple is on the side road of city center. It would be great to take photographs without disturbing the devotees. Buddha’s hair and …,5
"Interesting place. A monks and guardians are very friendly and helpful. They allowed me to take a picture inside the building. I've seen many odd stuffs such as an old pictures, souvenirs and small art moments in the other rooms but no time take a picture. I've also found that this temple is keeping a Buddha's hair.",3
"Superb place for relaxing and spending time with friends & family! The stone  carvings and sculptures are so beautiful! There is so much of greenery that u will end up staying in the square for many hours! If you are visiting Colombo, please don't forget to visit this place!",5
Well maintained place and respectable crowd. Enjoyed my jogging and the quiet atmosphere. Highly recommend for a family visit.,5
Very nice and historic place. Evening work along pathways are more relaxing.,5
"It's an amazing place for some exercises. You can walk, run, bike, skate, etc. I believe there are some crossfit equipment too. Or you can just simply hangout with your friends for a small chit chat under the tress. However, early morning and evenings get busy, so I recommend nights to chill out. Enjoy 🎉",4
"The  best to have morning and evening walk.  Good atmosphere, best crowd of colombo can be found here.  Also equipped with open gym. Very well maintained and one of my favourite place in Colombo.",5
This is a historical place in Colombo. The architectural design is incredible and the location is also very beautiful. You won’t allow to make video-graphs in this location. A place you must visit if you are traveling in Colombo,5
It's of historical importance and it's made of beautifully carved pillars. It's a beautiful sight at night and in the evening you can visit with your children and let them play there as it's spacious.,5
"One of the best place in Colombo to chill around with friends or family. Track is nice, I usually do my long runs around here. There are restaurants and fast foods. I highly recommend people to visit here. Ambience is better compared to other parks.",5
Very beautiful place. Soo green and nice place for a walk and relaxation. A must visit place for those who love nature.,4
Weekend workout done right! Family-friendly space for winding down and relaxing. Ample parking space available. Rent-a-bike facilities available on site. Look forward to the walking track and intertwining with nature for a jog around Colombo's National treasures!,5
"Very beautiful and memorable place.. Independence Square remains one of the nicest places to relax in Colombo, especially in the evenings. In addition to the memorial hall itself,",5
There was something new. Not been in awhile so yes there was a little shop looked nice at the end of the walk way. Will pay a visit to see what's in store. Also night time herbal drink which is also a great idea after a long walk.,4
"Early morning at about 6am, it's one of the best places to do all types of exercises for body and mind. Also has a mini gym which is enough for your body with some stretching and running.",5
Nice place to come and chill. You can go for a calming walk around the track and cycle around the circuit just here. Nice place to unwind. You can also do simple workouts here and take some cool pics!,5
Cannot enter. The security guards out there. When the governmet changes public access is being prohibited. So we can walk around the park and chill.,3
"The best spot in Colombo for a walk,  jog or even a work out",4
"Historical, central, picturesque, artistic, clean and safe.  Independence Square is a must stop for; tourists, travelers, friends, exercising and romantic walks",4
